ECG,RED,IR,PCG
2149,103619,73810,0
2148,103577,73833,0
2144,103566,73847,0
2140,103476,73850,0
2136,103636,73827,0
2144,103582,73847,0
2140,103559,73819,0
2133,103564,73837,0
2112,103552,73859,0
2114,103608,73815,0
2144,103573,73775,0
2144,103541,73862,0
2156,103580,73853,0
2164,103542,73813,0
2161,103548,73848,0
2160,103602,73809,0
2164,103572,73854,0
2168,103530,73834,0
2174,103581,73819,0
2168,103583,73846,0
2170,103579,73812,0
2172,103556,73788,0
2136,103537,73895,0
2144,103624,73826,0
2152,103576,73835,0
2149,103524,73798,0
2182,103592,73846,0
2181,103556,73846,0
2188,103607,73812,0
2197,103614,73870,0
2222,103576,73825,0
2192,103566,73864,0
2212,103567,73851,0
2210,103580,73771,0
2212,103616,73814,0
2208,103554,73862,0
2208,103526,73848,0
2204,103571,73818,0
2204,103573,73838,0
2200,103590,73822,0
2192,103564,73804,0
2188,103526,73884,0
2184,103602,73837,0
2176,103576,73827,0
2174,103519,73863,0
2170,103597,73861,0
2177,103540,73865,0
2168,103581,73835,0
2170,103587,73822,0
2176,103544,73875,0
2186,103582,73874,0
2184,103537,73786,0
2185,103589,73881,0
2152,103597,73819,0
2168,103563,73879,0
2160,103514,73881,0
2156,103603,73846,0
2188,103590,73876,0
2184,103581,73821,0
2174,103548,73831,0
2176,103544,73894,0
