2012,60280,52841,14
2116,60297,52849,6
2024,60317,52859,15
2052,60321,52859,-14
2052,60303,52853,1
2100,60239,52834,-38
2100,60161,52809,-21
2020,60091,52785,-4
2074,60049,52778,35
2065,60048,52773,35
2036,60067,52787,42
1888,60099,52799,1
2056,60120,52801,7
2084,60147,52810,-22
2064,60159,52817,-12
2034,60180,52821,9
2072,60201,52825,29
2072,60212,52834,27
2176,60215,52836,31
2104,60203,52825,-6
2090,60207,52822,-3
2120,60206,52829,-34
2114,60214,52835,-36
2080,60229,52835,2
2112,60237,52840,28
2060,60255,52841,25
2972,60270,52846,3
2256,60285,52851,-26
2224,60304,52854,-10
1980,60316,52865,-46
1972,60327,52867,-45
1900,60347,52869,0
1952,60364,52877,25
1946,60388,52883,17
1978,60404,52889,-5
1986,60407,52890,-37
1980,60374,52880,-28
2036,60292,52854,-26
2031,60199,52825,-34
1976,60133,52801,12
2000,60096,52791,55
1985,60087,52790,52
2044,60095,52793,0
2022,60110,52796,-20
2002,60122,52799,-15
2072,60133,52810,3
2064,60144,52806,-9
2040,60154,52807,25
2046,60160,52812,40
2042,60168,52813,45
2092,60168,52810,-5
2060,60164,52808,-34
2060,60162,52805,-3
2128,60152,52805,10
2130,60163,52805,-5
2112,60177,52808,29
1976,60185,52811,0
1775,60195,52813,22
3776,60214,52818,-24
2080,60221,52820,-3
2066,60236,52827,-9
1988,60254,52839,26
1974,60274,52839,10
2000,60301,52849,20
1960,60311,52850,-44
1957,60325,52850,-17
2060,60324,52858,-36
2024,60315,52844,-30
2032,60254,52831,-31
2060,60168,52806,25
2027,60068,52771,7
2040,60010,52756,30
2016,59985,52743,-28
2014,59992,52750,-10
1876,60000,52748,-28
2034,60027,52757,-3
2016,60044,52766,-23
2046,60059,52759,49
2040,60077,52773,18
2084,60100,52775,35
2148,60107,52782,-29
2040,60117,52779,-14
2144,60120,52789,-26
2080,60122,52781,-4
2090,60119,52780,-20
2080,60131,52789,38
2082,60143,52794,32
2048,60162,52797,26
3384,60184,52800,-6
3452,60197,52810,1
2274,60207,52808,-21
1968,60224,52815,0
1980,60245,52817,-19
1944,60250,52819,20
1966,60254,52820,13
2020,60276,52822,10
2020,60285,52831,-36
2016,60291,52829,-30
2100,60272,52827,-43
2068,60201,52803,7
2096,60104,52772,-6
2052,60015,52736,28
2039,59968,52733,17
2064,59966,52726,-6
2044,59970,52729,-6
2058,59995,52733,4
2096,60011,52744,-20
2080,60039,52748,47
2081,60056,52752,25
2065,60074,52760,26
2061,60091,52762,27
2100,60106,52767,-9
2100,60114,52773,-51
2110,60109,52769,-35
2104,60115,52778,-4
2100,60123,52775,35
2105,60139,52780,21
2056,60162,52789,28
2041,60183,52800,31
2756,60218,52807,0
2308,60238,52817,-35
2303,60264,52825,-29
1970,60280,52831,-22
1938,60304,52837,29
1946,60318,52838,22
1932,60327,52848,12
2045,60348,52846,10
1996,60357,52853,-32
1992,60353,52846,-42
2010,60314,52836,-43
2004,60238,52816,-18
2010,60146,52785,32
2146,60085,52764,33
1984,60055,52759,-5
1980,60052,52751,9
2040,60055,52758,-28
1864,60068,52756,-24
2021,60080,52759,-23
2032,60089,52759,-1
2066,60096,52768,39
2072,60113,52768,28
2000,60123,52767,1
2009,60118,52767,14
2176,60105,52764,-2
2068,60100,52762,-12
2076,60097,52759,-28
2066,60116,52765,28
2100,60131,52774,31
2104,60147,52780,30
1944,60172,52788,-5
1930,60197,52792,4
3760,60211,52800,-39
2092,60234,52808,-4
2085,60248,52815,-26
1936,60267,52823,13
1946,60279,52820,32
1983,60292,52829,27
1920,60311,52829,-24
1926,60311,52829,-7
2024,60306,52826,-39
2028,60288,52821,-4
2042,60222,52804,-26
2016,60130,52771,11
2056,60059,52750,19
2054,60022,52742,33
2004,60015,52733,-13
2008,60015,52735,0
2060,60019,52732,-42
2058,60041,52736,-23
2052,60065,52751,-34
2036,60083,52754,15
2088,60105,52762,13
2096,60125,52765,33
2032,60123,52763,-7
2040,60128,52765,3
2116,60131,52770,-36
2088,60140,52762,-13
2097,60142,52772,-27
2058,60155,52768,13
2114,60175,52777,6
2116,60182,52778,30
2016,60203,52782,-18
1912,60217,52791,-15
3080,60229,52789,-42
2047,60244,52795,19
2056,60259,52800,3
1956,60277,52811,42
2002,60292,52814,2
2104,60311,52817,20
1976,60337,52824,-10
2000,60347,52824,2
2056,60346,52826,-2
2100,60312,52809,43
2104,60244,52791,30
2032,60174,52767,41
2064,60120,52752,-8
2047,60108,52749,11
2016,60112,52753,-22
2024,60140,52759,-12
1888,60153,52762,4
2084,60174,52768,12
2060,60199,52773,5
2048,60228,52784,-4
2088,60248,52792,-35
2080,60267,52797,-24
2200,60279,52801,-55
2108,60282,52807,-63
2100,60289,52805,-6
2140,60291,52804,37
2136,60300,52811,35
2056,60315,52809,18
2064,60336,52816,-6
2036,60359,52825,-9
3424,60383,52839,-18
3360,60409,52840,-16
2080,60433,52854,-2
2000,60452,52857,33
2012,60469,52859,23
1936,60488,52865,18
2012,60505,52878,-28
2009,60523,52878,-12
2084,60531,52878,-10
2098,60533,52885,-16
2044,60488,52869,20
2080,60427,52847,23
2076,60365,52832,20
2016,60331,52817,-10
2056,60328,52815,-16
2050,60341,52820,-2
2066,60362,52828,-23
2072,60379,52831,-24
2036,60398,52839,19
2116,60419,52844,12
2118,60439,52849,10
2040,60448,52855,5
2080,60464,52857,-33
2073,60468,52866,-30
2116,60461,52864,-16
2114,60472,52872,-28
2052,60468,52868,31
2088,60489,52869,7
2096,60511,52877,10
2028,60515,52880,-51
3032,60542,52891,-20
2924,60543,52894,-21
2280,60569,52897,-5
2258,60589,52906,-20
1884,60604,52915,24
1960,60627,52921,18
1956,60638,52921,30
1908,60651,52926,-24
1976,60667,52930,-22
1960,60675,52935,-22
2032,60661,52928,23
2042,60598,52909,1
1986,60518,52885,26
2032,60451,52860,-6
2008,60412,52846,12
2008,60409,52849,-30
2036,60417,52849,-8
2025,60431,52859,-16
1888,60445,52859,22
2060,60453,52861,9
2008,60463,52868,36
2064,60481,52871,-23
2045,60491,52874,-5
2040,60500,52879,63
2180,60496,52876,-16
2089,60503,52880,-31
2112,60496,52872,1
2116,60502,52878,-15
2056,60507,52881,25
2096,60519,52885,-38
2090,60540,52888,-22
2096,60554,52892,-44
3020,60565,52897,-16
2908,60580,52902,-33
2020,60602,52908,38
2016,60614,52913,25
1932,60639,52920,39
1941,60645,52919,0
1964,60662,52925,7
1992,60672,52926,-35
1992,60677,52926,-2
1994,60662,52921,-20
2064,60598,52900,47
2068,60528,52874,46
1996,60460,52857,15
2032,60417,52839,-11
2026,60409,52838,-8
2064,60427,52844,-16
2016,60445,52851,11
2010,60454,52854,0
